line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
48,67,Apiza,"including\n""void ssh_channel_free (ssh_channel channel)"", \n""int channel_read_buffer (ssh_channel channel, ssh_buffer buffer, uint32_t count, int is_stderr)"", \n""int ssh_channel_poll (ssh_channel channel, int is_stderr)"", and\n""int ssh_channel_write (ssh_channel channel, const void *data, uint32_t len)"".",INFORM,66,CONT,structure basic,ssh_channel,
49,68,Programmer,How do I use channel_read_buffer?,ELICIT-OFFER-OR-SUGGESTION,67,FOL,patterns,ssh_channel_read_buffer,
50,69,Apiza,"For example, if you have ssh_channel channel and ssh_buffer buffer, you could use\n""int nbytes = ssh_channel_read_buffer(channel, buffer, sizeof(buffer), 0);""",SUGGEST,68,POS,examples,ssh_channel_read_buffer,
51,70,Programmer,What is the actual type of ssh_buffer?,ELICIT-INFORM,69,FOL,basic,ssh_buffer,
52,71,Apiza,The ssh_buffer_struct consists of the following fields:\n,INFORM,70,POS,structure basic,ssh_buffer,
52,72,Apiza,"char *data, uint32_t used, uint32_t allocated, uint32_t pos, int secure;",INFORM,71,CONT,structure basic,ssh_buffer,
53,73,Programmer,What is the difference between ssh_channel_read_buffer and ssh_channel_read?,ELICIT-INFORM,67,FOL,functionality,ssh_channel_read_buffer ssh_channel_read,
54,74,Apiza,"ssh_channel_read_buffer reads data from a channel into a buffer and has parameter ssh_buffer buffer, while ssh_channel_read reads data from a channel and has parameter void *dest.",INFORM,74,POS,functionality,ssh_channel_read_buffer ssh_channel_read,
55,75,Programmer,How do I close a channel cleanly?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh_channel,
56,76,Apiza,int ssh_channel_close(ssh_channel channel) will close a channel.,INFORM,75,POS,patterns basic,ssh_channel_close,
56,77,Apiza,This sends an end of file and then closes the channel. You won't be able to recover any data the server was going to send or was in buffers.,INFORM,76,CONT,functionality control,ssh_channel_close,
57,78,Programmer,Is ssh_channel_send_eof necessary before ssh_channel_close?,ELICIT-INFORM,76,FOL,directives, ssh_channel_close ssh_channel_send_eof,
58,79,Apiza,"ssh_channel_send_eof is not necessary,",INFORM,78,POS,directives, ssh_channel_close ssh_channel_send_eof,
58,80,Apiza, but you should use it before ssh_channel_close if no errors have occurred.,SUGGEST,79,CONT,directives, ssh_channel_close ssh_channel_send_eof,
59,81,Programmer,Does ssh_channel_read NULL-terminate the buffer?,ELICIT-INFORM,,,functionality,ssh_channel_read,
60,82,Apiza,"Sorry, ",BE-POSITIVE,81,UNC,,,
60,83,Apiza,I am not sure. ,INFORM,82,CONT,,,
60,84,Apiza,I found this code snippet that may be useful regarding ssh_channel_send_eof:\n\n,INFORM,81,PART,,ssh_channel_send_eof,
60,85,Apiza,"rc = ssh_channel_send_eof(channel);\nif (rc == SSH_ERROR) {\n return -1;\n}\n\nwhile(!ssh_channel_is_eof(channel)) {\n rc = ssh_channel_read(channel, buf, sizeof(buf), 0);\n if (rc == SSH_ERROR) {\n return -1;\n }\n}\n\nssh_channel_close(channel);",INFORM,84,CONT,examples,ssh_channel_read ssh_channel_send_eof,
61,86,Programmer,What are the possible types for the third parameter of sftp_mkdir?,ELICIT-INFORM,,,directives,sftp_mkdir,
62,87,Apiza,"The third parameter of sftp_mkdir must be of type ""mode_t"".",INFORM,86,POS,directives,sftp_mkdir,
63,88,Programmer,What are the possible types of mode_t?,ELICIT-INFORM,87,FOL,directives,mode_t,
64,89,Apiza,I was able to find the following definitions for possible values of mode_t:\n\n,INFORM,88,POS,structure,mode_t,
64,90,Apiza,#define S_IRWXU 0000700 /* RWX mask for owner */\n#define S_IRUSR 0000400 /* R for owner */\n#define S_IWUSR 0000200 /* W for owner */\n#define S_IXUSR 0000100 /* X for owner */\n\n#define S_IRWXG 0000070 /* RWX mask for group */\n#define S_IRGRP 0000040 /* R for group */\n#define S_IWGRP 0000020 /* W for group */\n#define S_IXGRP 0000010 /* X for group */\n\n#define S_IRWXO 0000007 /* RWX mask for other */\n#define S_IROTH 0000004 /* R for other */\n#define S_IWOTH 0000002 /* W for other */\n#define S_IXOTH 0000001 /* X for other */\n\n#define S_ISUID 0004000 /* set user id on execution */\n#define S_ISGID 0002000 /* set group id on execution */\n#define S_ISVTX 0001000 /* save swapped text even after use */,INFORM,89,CONT,structure,mode_t,
65,91,Programmer,What are the possible return values of sftp_write?,ELICIT-INFORM,,,functionality,sftp_write,
66,92,Programmer,How do I close a sftp_file?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,sftp_file,
67,93,Apiza,"sftp_write() Returns type ""ssize_t"": number of bytes written, &lt; 0 on error with ssh and sftp error set.",INFORM,91,POS,basic functionality,sftp_write,
68,94,Apiza,"""int sftp_close(sftp_file file)"" can be used to close an open file handle.",SUGGEST,92,POS,patterns basic,sftp_close,
69,95,Programmer,How do I know if a sftp_file already exists?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,sftp_file,
70,96,Programmer,How do I disconnect a sftp_session?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,sftp_session,
71,97,Apiza,"In the function sftp_open(), the parameter ""int accesstype"" can regulate whether the file is opened based on file existance: ""accesstype\tIs one of O_RDONLY, O_WRONLY or O_RDWR which request opening the file read-only,write-only or read/write. Acesss may also be bitwise-or\'d with one or more of the following: O_CREAT - If the file does not exist it will be created. O_EXCL - When used with O_CREAT, if the file already exists it is an error and the open will fail. O_TRUNC - If the file already exists it will be truncated.""",INFORM,95,POS,functionality patterns,sftp_open sftp_file,
72,98,Apiza,"I can\'t find anything to ""disconnect"" a sftp_session, only to ""close"".",INFORM,96,NEG,patterns,sftp_session,
73,99,Programmer,How do I close a sftp_session?,ELICIT-OFFER-OR-SUGGESTION,98,FOL,patterns,sftp_session,
74,100,Programmer,And how do I switch SFTP directory?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
75,101,Apiza,"""void sftp_free(sftp_session sftp)"" will close a sftp session.",SUGGEST,99,POS,patterns basic,sftp_free,
76,102,Apiza,"Hmm, I can\'t find anything to ""switch"" SFTP directory,",INFORM,100,NEG,patterns,,
76,103,Apiza,"but I see functions to ""close"", ""create"", ""open"", ""move"", or ""remove"" a directory.",INFORM,102,CONT,patterns,,
77,104,Programmer,How do I create a file inside a directory via SFTP?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
78,105,Apiza,"sftp_open() can be used to create a file inside a directory, using the ""O_CREAT"" option for the ""accesstype"" parameter.",SUGGEST,104,POS,patterns basic,sftp_open,
